Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
340.00	20.000	0.75770	1.3198	20.611	23.251	99.384	31.971	43.420	275.45	0.78504	17.142	0.020992	vapor
340.00	21.000	0.79853	1.2523	20.587	23.216	98.905	32.041	43.684	274.92	0.78479	17.158	0.021051	vapor
340.00	22.000	0.83967	1.1909	20.562	23.182	98.445	32.111	43.952	274.40	0.78453	17.175	0.021110	vapor
340.00	23.000	0.88114	1.1349	20.537	23.147	98.002	32.182	44.226	273.88	0.78424	17.192	0.021171	vapor
340.00	24.000	0.92293	1.0835	20.512	23.113	97.573	32.254	44.505	273.36	0.78394	17.210	0.021234	vapor
340.00	25.000	0.96506	1.0362	20.487	23.078	97.159	32.326	44.789	272.84	0.78361	17.229	0.021297	vapor
340.00	26.000	1.0075	0.99254	20.462	23.042	96.757	32.398	45.078	272.31	0.78326	17.248	0.021363	vapor
340.00	27.000	1.0503	0.95208	20.436	23.007	96.367	32.471	45.373	271.79	0.78290	17.268	0.021429	vapor
340.00	28.000	1.0935	0.91451	20.411	22.971	95.987	32.545	45.673	271.26	0.78251	17.289	0.021497	vapor
340.00	29.000	1.1370	0.87951	20.385	22.936	95.618	32.619	45.979	270.74	0.78210	17.310	0.021567	vapor
340.00	30.000	1.1809	0.84683	20.359	22.900	95.258	32.694	46.292	270.21	0.78167	17.332	0.021638	vapor
340.00	31.000	1.2251	0.81624	20.333	22.863	94.907	32.769	46.610	269.69	0.78121	17.355	0.021711	vapor
340.00	32.000	1.2698	0.78755	20.307	22.827	94.564	32.844	46.935	269.16	0.78073	17.378	0.021785	vapor
340.00	33.000	1.3148	0.76059	20.280	22.790	94.228	32.921	47.266	268.64	0.78022	17.402	0.021861	vapor
340.00	34.000	1.3602	0.73520	20.253	22.753	93.899	32.998	47.603	268.11	0.77969	17.428	0.021939	vapor
340.00	35.000	1.4060	0.71125	20.226	22.716	93.577	33.075	47.948	267.58	0.77913	17.453	0.022019	vapor
340.00	36.000	1.4522	0.68862	20.199	22.678	93.261	33.153	48.300	267.06	0.77855	17.480	0.022100	vapor
340.00	37.000	1.4988	0.66720	20.172	22.640	92.951	33.232	48.659	266.53	0.77794	17.508	0.022184	vapor
340.00	38.000	1.5459	0.64689	20.144	22.603	92.646	33.311	49.026	266.00	0.77730	17.536	0.022269	vapor
340.00	39.000	1.5933	0.62762	20.117	22.564	92.346	33.391	49.400	265.48	0.77663	17.565	0.022356	vapor
340.00	40.000	1.6413	0.60929	20.089	22.526	92.051	33.471	49.782	264.95	0.77593	17.596	0.022446	vapor
340.00	41.000	1.6896	0.59185	20.060	22.487	91.760	33.552	50.173	264.42	0.77520	17.627	0.022537	vapor
340.00	42.000	1.7384	0.57523	20.032	22.448	91.474	33.634	50.572	263.89	0.77443	17.659	0.022631	vapor
340.00	43.000	1.7877	0.55936	20.003	22.409	91.191	33.716	50.980	263.37	0.77364	17.692	0.022727	vapor
340.00	44.000	1.8375	0.54421	19.975	22.369	90.913	33.799	51.396	262.84	0.77281	17.726	0.022825	vapor
340.00	45.000	1.8878	0.52972	19.945	22.329	90.638	33.883	51.823	262.31	0.77194	17.761	0.022926	vapor
340.00	46.000	1.9385	0.51585	19.916	22.289	90.366	33.967	52.258	261.79	0.77104	17.797	0.023029	vapor
340.00	47.000	1.9898	0.50256	19.887	22.249	90.097	34.052	52.704	261.26	0.77011	17.834	0.023134	vapor
